"","ans_id","V000","V001","V002_1","V002_2","V002_3","V002_4","V002_o","V002_o1","V003_1","V004_1","V006_1","V006_2","V006_3","V006_4","V006_5","V006_o","V006_o1","V007","V008","V009","V010","V010_o","V011_1","V012_1","V013_1","V015","Leeftijd","Leeftijd_cat","Geslacht","Postcode"
"191",23425,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,5,1,"",NA,NA,NA,"Niets",52,3,2,8243
"192",20410,1,3,0,0,0,1,0,"",2,2,1,1,0,1,0,0,"",2,4,2,1,"",NA,NA,NA,"Niets",57,3,2,7075
"193",25329,1,1,0,0,0,1,0,"",2,2,1,1,0,0,1,0,"",1,3,2,1,"",NA,NA,NA,"Naast het loon voor de landarbeiders ben ik ook benieuwd naar gebruik mogelijke bestrijdingsmiddelen en wel traject de banaan aflegt tussen boom tot schap supermarkt.
",63,3,2,6042
"194",22859,1,2,0,0,1,0,0,"",NA,NA,1,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Waar ze vandaan komen.",62,3,1,1335
"195",21095,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"Ik zoek nooit naar bananen op een website kijk altijd naar de actie prijzen in de folders.",79,3,1,3123
"196",26557,1,1,0,0,0,1,0,"",2,1,1,1,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Ik denk niet dat ik die moeite zal nemen.",59,3,1,7555
"197",28607,1,1,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,2,2,1,"",NA,NA,NA,"waar ze vandaan komen",69,3,2,3524
"198",27552,1,2,0,0,0,1,0,"",1,1,1,1,0,0,0,0,"",2,2,2,1,"",NA,NA,NA,"Of het allemaal wel klopt dat fairtrade gedoe.",69,3,1,4707
"199",23226,1,2,1,1,0,1,0,"",2,1,1,1,0,1,1,0,"",2,2,1,1,"",NA,NA,NA,"Waar komen ze vandaan? Zijn ze biologisch en fairtrade",72,3,2,3773
"200",25273,1,4,0,0,0,1,0,"",2,2,1,0,0,1,0,0,"",1,2,3,1,"",NA,NA,NA,"info over fairtrade",77,3,1,5036
"201",22668,1,2,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"geen",76,3,1,2711
"202",22445,1,2,0,0,0,0,1,"natuurvoedingswinkel",3,3,1,1,0,0,1,0,"",2,2,1,1,"",NA,NA,NA," info over de boer en de plaats waar hij/zij verbouwt",51,3,1,3704
"203",27619,1,4,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Ik zoek wat kleinere  ananen",82,3,1,7927
"204",22606,1,5,0,1,0,1,0,"",2,2,1,1,1,1,1,0,"",2,4,2,1,"",NA,NA,NA,"Uit welk land ze komen en hoe de leefomstandigheden daar zijn van de boeren en andere medewerkers.",71,3,1,4564
"205",23045,1,4,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",2,1,3,1,"",NA,NA,NA,"Waar ze vandaan komen",70,3,2,3443
"206",23780,1,4,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"in de regel niet, ik vertrouw de info van de Plus",60,3,2,7711
"207",22557,1,1,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,5,1,"",NA,NA,NA,"Geen",62,3,1,7483
"208",25686,1,4,0,0,1,0,0,"",NA,NA,1,1,0,0,1,0,"",2,3,3,1,"",NA,NA,NA,"geen",68,3,1,6041
"209",22786,1,6,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Hoe en waar ze verbouwd worden en vervoerd",68,3,2,5423
"210",25164,1,1,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Niets",62,3,1,3417
"211",29440,1,4,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,2,2,1,"",NA,NA,NA,"Koop altijd bio bananen",63,3,2,4353
"212",23615,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Niets",64,3,2,2903
"213",19929,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"geen",82,3,1,7631
"214",25165,1,4,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"eigenlijk niets. we eten in nederland maar 1 soort bananen.",68,3,1,3442
"215",24139,1,5,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",1,3,1,1,"",NA,NA,NA,"waar ze vandan komen",55,3,2,1058
