"","ISIN","Country","year","str","PTI","SI","TXT","CTP","cetr_5","diff_c","cetr_5_s","etr_5","diff_e","etr_5_s","ASSETS","LTD","RD","PTI_FOREIGN","ROA","FTSE_ESG_a","ESG","Sector","CAPEX","mean_ROA","n","median_ROA","ctrygrp","PERF","cetr","LEV","RDS","SIZE","FOREIGN","FOR","BTD","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sdg17","sdg","gc","gri","int","report","sdg_total","s_themes","SDG","GC","GRI","INT"
"25","CH0102484968","CH",2016,0.21148581,722.9234026,0,132.4649032,79.47894191,0.150425615,-73.40909947,-0.061060195,0.181496522,-20.4231382,-0.029989288,94659.5152,370.2450189,NA,NA,0.789917187,3.7,66,"FINANCIAL","#Calc",2.08509234842,51,0.847694817,"EUR",-1.29517516142,0.109941027810351,0.00391133440856667,NA,11.4580416819597,0,0,-0.000823478351137085,3,0,4,1,0,2,4,0,0,4,0,1,4,0,2,5,8,3,0,24,0,"report",33,11,"SDG","no GC-member","GRI","no report<IR>"
"26","CH0102484968","CH",2020,0.21148581,901.2225696,0,156.9335436,154.8027419,0.198569647,-35.79304323,-0.013036159,0.168555016,-33.66224156,-0.04305079,123465.1239,106.2468875,NA,NA,0.801147121,3.6,59,"FINANCIAL","#Calc",2.56631717723529,51,0.887665161,"EUR",-1.76517005623529,0.171769712745552,0.000860541699095966,NA,11.7237139975976,0,0,-0.00123838035567531,1,2,9,0,0,2,11,5,0,3,1,0,16,0,4,7,9,23,0,22,0,"report",45,12,"SDG","no GC-member","GRI","no report<IR>"
"27","CH0210483332","CH",2016,0.21148581,1759.301368,0,394.8556687,315.8845349,0.201118959,-56.18273995,-0.010366851,0.215019612,22.78839378,0.003533802,21562.12829,13.78066843,0,NA,7.957486735,3.4,80,"MISCELLANEOUS","#Calc",9.65414834079167,25,8.001365832,"EUR",-1.69666160579167,0.179551122192954,0.000639114480938839,0,9.97869373490049,0,0,-0.0144774141936776,0,0,4,1,0,3,4,1,0,3,0,0,28,0,10,4,6,0,1,14,0,"report",21,10,"noSDG","GC-member","GRI","no report<IR>"
"28","CH0210483332","CH",2020,0.21148581,1751.39212,0,263.3497133,288.9855261,NA,-81.409055,NA,NA,-107.0448678,NA,42059.2873,76.47687634,0,NA,4.473350932,3.8,79,"MISCELLANEOUS","#Calc",7.52911575376,25,5.686270073,"EUR",-3.05576482176,0.165003326667931,0.00181831127556933,0,10.6468355042724,0,0,-0.00678284389970493,5,1,7,6,8,2,24,11,0,8,0,2,23,0,27,10,21,51,24,70,1,"report",221,14,"SDG","GC-member","GRI","<IR>"
"29","CH0432492467","CH",2016,0.21148581,-113.0000062,0,57.00000311,NA,NA,NA,NA,0.118779029,80.89790094,-0.092706781,27739.9995,1.082044151,499.0000272,NA,-0.394599194,NA,NA,"DRUGS, COSMETICS & HEALTH CARE","#Calc",3.27765873091667,36,6.112859282,"EUR",-3.67225792491667,NA,3.90066391673872e-05,0.0179884656162305,10.2306306758443,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"30","CH0432492467","CH",2020,0.21148581,-635.0000229,0,-104.0000037,-97.00000349,0.38772551,37.29349069,0.084600445,0.336694465,30.29349044,0.0335694,27599.99905,23.92413134,673.0000242,-50.0000018,-2.329260656,3.3,69,"DRUGS, COSMETICS & HEALTH CARE","#Calc",5.04721129911111,36,6.2003189055,"EUR",-7.37647195511111,0.152755905499039,0.000866816382734622,0.0243840596871325,10.225571017285,0,0,0.00346583593625413,1,1,3,0,0,1,14,0,0,5,0,0,4,0,0,4,0,0,0,48,0,"report",1,8,"noSDG","no GC-member","GRI","no report<IR>"
"31","DE0005190003","DE",2016,0.30175,10691.3963,0,3047.573391,2673.678724,0.292252016,-552.4501109,-0.00789521,0.270610036,-178.5554444,-0.02953719,210341.4024,207.4615777,0,NA,5.065712751,3.9,97,"AUTOMOTIVE","#Calc",6.79745625763158,19,5.772688377,"EUR",-1.73174350663158,0.250077599686395,0.000986308807171859,0,12.2564872153524,0,0,-0.0125577627871932,1,0,0,0,0,1,72,0,2,8,2,4,13,0,1,1,10,15,24,352,0,"report",55,11,"SDG","GC-member","GRI","no report<IR>"
"32","DE0005190003","DE",2020,0.29897059,4904.170191,0,1556.065158,1829.659032,0.306086819,363.4563767,0.005088487,0.254772067,89.86250277,-0.046226265,282007.4659,170.8758273,0,NA,1.822317673,4.8,100,"AUTOMOTIVE","#Calc",2.85011431084211,19,3.07325989,"EUR",-1.02779663784211,0.373082287265997,0.000605926608200482,0,12.5496888243925,0,0,-0.00643598920210489,0,0,1,1,0,2,28,4,0,2,0,2,28,0,1,4,8,5,42,229,3,"report",36,11,"SDG","GC-member","GRI","<IR>"
"33","DE0005439004","DE",2016,0.30175,4324.235623,0,1213.277131,1158.520367,0.437756991,-146.3177319,0.137011517,0.342890379,-91.56096862,0.042144905,39390.79769,34.7042747,3110.073535,NA,10.99028078,3.5,88,"AUTOMOTIVE","#Calc",6.79745625763158,19,5.772688377,"EUR",4.19282452236842,0.267913330355542,0.000881024928033134,0.0789543171853446,10.5812875068389,0,0,-0.0290796849310415,0,0,0,1,1,1,2,0,0,10,0,0,3,0,10,0,6,2,2,210,0,"report",21,8,"SDG","GC-member","GRI","no report<IR>"
"34","DE0005439004","DE",2020,0.29897059,-622.8820531,0,-57.34071609,1009.447398,0.336803133,1195.670812,0.034899317,0.184199085,128.8826988,-0.117704731,50896.00777,59.81210856,3822.106419,NA,-1.276948784,3.5,67,"AUTOMOTIVE","#Calc",2.85011431084211,19,3.07325989,"EUR",-4.12706309484211,-1.62060761419617,0.00117518271433571,0.0750963894117623,10.8375397666532,0,0,-0.0198701170574966,0,0,0,1,0,2,8,0,0,3,0,0,2,0,2,5,11,8,0,23,0,"report",66,8,"SDG","no GC-member","GRI","no report<IR>"
"35","DE0005552004","DE",2016,0.30175,3460.18496,0,388.2752305,584.0721416,0.19919346,-460.0386701,-0.10071871,0.172427813,-655.8355813,-0.127484356,40636.35193,54.43311987,NA,NA,8.160709627,3.8,92,"TRANSPORTATION","#Calc",10.470489416,8,9.155348393,"EUR",-2.309779789,0.168797953968334,0.00133951787709109,NA,10.6124183127212,0,0,-0.0141162039956572,0,0,23,1,0,1,15,3,0,4,9,0,5,0,9,1,5,4,9,8,0,"report",15,11,"SDG","GC-member","GRI","no report<IR>"
"36","DE0005552004","DE",2020,0.29897059,4793.592667,0,1134.274603,859.5407541,0.456812566,-573.6024738,0.156387426,0.511872092,-298.8686253,0.211446952,70485.04266,133.1857444,NA,NA,7.510605046,3.8,84,"TRANSPORTATION","#Calc",3.662861767875,8,4.5096535115,"EUR",3.847743278125,0.179310344831183,0.00188956038577504,NA,11.16315580544,0,0,-0.0119913287972077,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,"report",1,2,"SDG","no GC-member","no GRI","no report<IR>"
"37","DE0005557508","DE",2016,0.30175,5088.507295,0,1596.242614,582.9659444,0.106465955,-952.4911318,-0.193205762,0.21403392,60.78553823,-0.085637797,156614.5487,208.5923904,0,NA,3.146321027,3.9,81,"UTILITIES","#Calc",8.11653216263636,11,7.00124334,"EUR",-4.97021113563636,0.114565217381692,0.00133188386475873,0,11.9615429617996,0,0,-0.00362425699495271,12,4,12,2,2,4,144,18,6,36,0,4,32,0,20,16,44,78,4,46,0,"report",924,15,"SDG","GC-member","GRI","no report<IR>"
"38","DE0005557508","DE",2020,0.29897059,9905.238212,0,2200.150737,786.5823877,0.191718369,-2174.792525,-0.108788812,0.257692076,-761.2241759,-0.042815105,345415.4956,382.0945382,0,NA,3.72241072,4.2,82,"UTILITIES","#Calc",4.28660832290909,11,2.327805071,"EUR",-0.564197602909091,0.0794107492283296,0.00110618817935856,0,12.7525033064562,0,0,-0.00219147272840726,0,1,1,4,2,0,54,1,1,26,0,0,28,0,7,5,26,45,2,217,0,"report",351,12,"SDG","GC-member","GRI","no report<IR>"
"39","DE0005785604","DE",2016,0.30175,4115.053725,0,1154.869916,988.9403307,0.226934536,-252.7771308,-0.072909664,0.234253732,-86.84754515,-0.065590468,49253.65915,116.6614024,555.3110135,NA,8.273101301,1.7,24,"MISCELLANEOUS","#Calc",9.65414834079167,25,8.001365832,"EUR",-1.38104703979167,0.240322580648689,0.00236858345985447,0.0112745128602288,10.8047389413022,0,0,-0.0198264082900085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"40","DE0005785604","DE",2020,0.29897059,4247.544894,0,1029.396951,872.0804733,NA,-397.8105296,NA,0.233256189,-240.494052,-0.067175344,81544.71077,152.888076,856.1208307,NA,5.575674139,2.6,43,"MISCELLANEOUS","#Calc",7.52911575376,25,5.686270073,"EUR",-1.95344161476,0.205314009636928,0.00187489874642178,0.0104987904502442,11.3089067472088,0,0,-0.010538777501999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"41","DE0005810055","DE",2016,0.30175,1100.887491,0,314.7131142,307.3015927,0.287166908,-24.89120777,-0.012592204,0.283950639,-17.47968628,-0.015808473,172835.021,66.31778621,NA,NA,0.578634087,4,96,"FINANCIAL","#Calc",2.08509234842,51,0.847694817,"EUR",-1.50645826142,0.279139871433056,0.000383705720208175,NA,12.0600927826418,0,0,-0.00175878512894622,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,1,0,0,45,0,"report",1,5,"noSDG","no GC-member","GRI","no report<IR>"
"42","DE0005810055","DE",2020,0.29897059,1717.029554,0,458.9537236,435.2422545,0.399114722,-78.09908432,0.098223892,0.243348848,-54.38761524,-0.057541983,186926.4995,94.69708023,NA,NA,1.03872137,4.7,100,"FINANCIAL","#Calc",2.56631717723529,51,0.887665161,"EUR",-1.52759580723529,0.253485592886889,0.000506600618335551,NA,12.1384707677699,0,0,-0.00230095166957284,0,0,0,2,4,0,7,6,0,3,0,3,2,0,0,6,5,27,2,36,0,"report",15,9,"SDG","GC-member","GRI","no report<IR>"
"43","DE0006047004","DE",2016,0.30175,994.2500775,0,347.6777919,360.5096799,0.477032138,60.49471897,0.176476199,0.619772057,47.66283101,0.319216119,40412.63946,68.8307401,0,NA,2.65233673,3.3,91,"CONSTRUCTION","#Calc",10.0916379183846,13,8.934931966,"EUR",-7.43930118838461,0.362594570579754,0.00170319833150537,0,10.6068978729402,0,0,-0.00884647810853837,0,0,0,0,0,1,8,1,0,2,0,0,3,0,35,3,4,0,1,18,0,"report",10,8,"noSDG","GC-member","GRI","no report<IR>"
"44","DE0006047004","DE",2020,0.29897059,-2144.17799,-1.42109e-14,381.3214619,388.6172985,0.374686954,1029.663457,0.07223858,0.356483864,1022.367621,0.05403549,40708.9755,74.05657534,0,NA,-5.158676829,3.3,71,"CONSTRUCTION","#Calc",10.0895793633077,13,10.53648516,"EUR",-15.2482561923077,-0.181243021947073,0.00181917069713533,0,10.6142038753734,0,0,-0.00970370183075114,0,0,0,0,0,10,6,1,2,1,0,1,23,0,32,3,8,1,1,200,0,"report",36,10,"SDG","GC-member","GRI","no report<IR>"
"45","DE0006048432","DE",2016,0.30175,3035.405221,0,717.9220074,850.665676,0.244046899,-65.26784943,-0.055915521,0.223874223,-198.011518,-0.076088197,30061.42877,24.75576527,512.1693212,NA,10.70808374,4,94,"CHEMICALS","#Calc",11.6110565129444,18,9.6708776455,"EUR",-0.902972772944445,0.280247813410478,0.000823505943759572,0.0170374244390913,10.3109981927829,0,0,-0.0279928923932391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"46","DE0006048432","DE",2020,0.29897059,2194.450864,0,571.1272119,704.5042255,0.196766767,48.4279559,-0.103723587,0.123967257,-84.94905767,-0.176523096,37714.70403,20.49954995,571.1272119,NA,6.133991874,4,90,"CHEMICALS","#Calc",8.84973133683333,18,7.2184054875,"EUR",-2.71573946283333,0.321038961071037,0.00054354264410225,0.0151433565923174,10.5378053247162,0,0,-0.0185058714036166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no report",0,0,"noSDG","no GC-member","no GRI","no report<IR>"
"47","DE0006231004","DE",2016,0.30175,779.5660472,0,-39.97774601,139.922111,0.150400643,-95.31194371,-0.149301426,0.119794226,-275.2118007,-0.179907843,10211.97096,35.21799721,855.0795674,NA,7.743216413,3.1,65,"ELECTRONICS","#Calc",7.28321580276316,38,8.019655121,"EUR",0.460000610236842,0.179487179441132,0.0034486973521515,0.0837330590489654,9.23131593464405,0,0,-0.0134714220194545,0,2,4,2,2,8,44,3,2,19,2,0,11,0,6,5,21,0,0,59,0,"report",231,14,"noSDG","no GC-member","GRI","no report<IR>"
