"","ISIN","Country","year","str"
"291","DE0007164600","DE",2018,0.29825
"292","DE0007164600","DE",2017,0.30175
"293","DE0007164600","DE",2016,0.30175
"294","DE0007164600","DE",2015,0.30175
"295","DE0007164600","DE",2014,0.30175
"296","DE0007164600","DE",2013,0.30175
"297","DE0007164600","DE",2012,0.30175
"298","DE0007165631","DE",2020,0.29897059
"299","DE0007165631","DE",2019,0.29897059
"300","DE0007165631","DE",2018,0.29825
"301","DE0007165631","DE",2017,0.30175
"302","DE0007165631","DE",2016,0.30175
"303","DE0007165631","DE",2015,0.30175
"304","DE0007165631","DE",2014,0.30175
"305","DE0007165631","DE",2013,0.30175
"306","DE0007165631","DE",2012,0.30175
"307","DE000ENER6Y0","DE",2020,0.29897059
"308","DE000ENER6Y0","DE",2019,0.29897059
"309","DE000ENER6Y0","DE",2018,0.29825
"310","DE000ENER6Y0","DE",2017,0.30175
"311","DE000ENER6Y0","DE",2016,0.30175
"312","DE000ENER6Y0","DE",2015,0.30175
"313","DE000ENER6Y0","DE",2014,0.30175
"314","DE000ENER6Y0","DE",2013,0.30175
"315","DE000ENER6Y0","DE",2012,0.30175
"316","DE000SYM9999","DE",2020,0.29897059
"317","DE000SYM9999","DE",2019,0.29897059
"318","DE000SYM9999","DE",2018,0.29825
"319","DE000SYM9999","DE",2017,0.30175
"320","DE000SYM9999","DE",2016,0.30175
"321","DE000SYM9999","DE",2015,0.30175
"322","DE000SYM9999","DE",2014,0.30175
"323","DE000SYM9999","DE",2013,0.30175
"324","DE000SYM9999","DE",2012,0.30175
"325","DE0007664039","DE",2020,0.29897059
"326","DE0007664039","DE",2019,0.29897059
"327","DE0007664039","DE",2018,0.29825
"328","DE0007664039","DE",2017,0.30175
"329","DE0007664039","DE",2016,0.30175
"330","DE0007664039","DE",2015,0.30175
"331","DE0007664039","DE",2014,0.30175
"332","DE0007664039","DE",2013,0.30175
"333","DE0007664039","DE",2012,0.30175
"334","DE000A1ML7J1","DE",2020,0.29897059
"335","DE000A1ML7J1","DE",2019,0.29897059
"336","DE000A1ML7J1","DE",2018,0.29825
"337","DE000A1ML7J1","DE",2017,0.30175
"338","DE000A1ML7J1","DE",2016,0.30175
"339","DE000A1ML7J1","DE",2015,0.30175
"340","DE000A1ML7J1","DE",2014,0.30175
"341","DE000A1ML7J1","DE",2013,0.30175
"342","DE000A1ML7J1","DE",2012,0.30175
"343","DK0010181759","DK",2020,0.22
"344","DK0010181759","DK",2019,0.22
"345","DK0010181759","DK",2018,0.22
"346","DK0010181759","DK",2017,0.22
"347","DK0010181759","DK",2016,0.22
"348","DK0010181759","DK",2015,0.235
"349","DK0010181759","DK",2014,0.245
"350","DK0010181759","DK",2013,0.25
"351","DK0010181759","DK",2012,0.25
"352","DK0060448595","DK",2020,0.22
"353","DK0060448595","DK",2019,0.22
"354","DK0060448595","DK",2018,0.22
"355","DK0060448595","DK",2017,0.22
"356","DK0060448595","DK",2016,0.22
"357","DK0060448595","DK",2015,0.235
"358","DK0060448595","DK",2014,0.245
"359","DK0060448595","DK",2013,0.25
"360","DK0060448595","DK",2012,0.25
"361","DK0010274414","DK",2020,0.22
"362","DK0010274414","DK",2019,0.22
"363","DK0010274414","DK",2018,0.22
"364","DK0010274414","DK",2017,0.22
"365","DK0010274414","DK",2016,0.22
"366","DK0010274414","DK",2015,0.235
"367","DK0010274414","DK",2014,0.245
"368","DK0010274414","DK",2013,0.25
"369","DK0010274414","DK",2012,0.25
"370","DK0010272202","DK",2020,0.22
"371","DK0010272202","DK",2019,0.22
"372","DK0010272202","DK",2018,0.22
"373","DK0010272202","DK",2017,0.22
"374","DK0010272202","DK",2016,0.22
"375","DK0010272202","DK",2015,0.235
"376","DK0010272202","DK",2014,0.245
"377","DK0010272202","DK",2013,0.25
"378","DK0010272202","DK",2012,0.25
"379","DK0060336014","DK",2020,0.22
"380","DK0060336014","DK",2019,0.22
"381","DK0060336014","DK",2018,0.22
"382","DK0060336014","DK",2017,0.22
"383","DK0060336014","DK",2016,0.22
"384","DK0060336014","DK",2015,0.235
"385","DK0060336014","DK",2014,0.245
"386","DK0060336014","DK",2013,0.25
"387","DK0060336014","DK",2012,0.25
"388","DK0010268606","DK",2020,0.22
"389","DK0010268606","DK",2019,0.22
"390","DK0010268606","DK",2018,0.22
"391","DK0010268606","DK",2017,0.22
"392","DK0010268606","DK",2016,0.22
"393","DK0010268606","DK",2015,0.235
"394","DK0010268606","DK",2014,0.245
"395","DK0010268606","DK",2013,0.25
"396","DK0010268606","DK",2012,0.25
"397","ES0105046009","ES",2020,0.25
"398","ES0105046009","ES",2019,0.25
"399","ES0105046009","ES",2018,0.25
"400","ES0105046009","ES",2017,0.25
"401","ES0105046009","ES",2016,0.25
"402","ES0105046009","ES",2015,0.28
"403","ES0105046009","ES",2014,0.3
"404","ES0105046009","ES",2013,0.3
"405","ES0105046009","ES",2012,0.3
"406","ES0109067019","ES",2020,0.25
"407","ES0109067019","ES",2019,0.25
"408","ES0109067019","ES",2018,0.25
"409","ES0109067019","ES",2017,0.25
"410","ES0109067019","ES",2016,0.25
"411","ES0109067019","ES",2015,0.28
"412","ES0109067019","ES",2014,0.3
"413","ES0109067019","ES",2013,0.3
"414","ES0109067019","ES",2012,0.3
"415","ES0105066007","ES",2020,0.25
"416","ES0105066007","ES",2019,0.25
"417","ES0105066007","ES",2018,0.25
"418","ES0105066007","ES",2017,0.25
"419","ES0105066007","ES",2016,0.25
"420","ES0105066007","ES",2015,0.28
"421","ES0105066007","ES",2014,0.3
"422","ES0105066007","ES",2013,0.3
"423","ES0105066007","ES",2012,0.3
"424","ES0148396007","ES",2020,0.25
"425","ES0148396007","ES",2019,0.25
"426","ES0148396007","ES",2018,0.25
"427","ES0148396007","ES",2017,0.25
"428","ES0148396007","ES",2016,0.25
"429","ES0148396007","ES",2015,0.28
"430","ES0148396007","ES",2014,0.3
"431","ES0148396007","ES",2013,0.3
"432","ES0148396007","ES",2012,0.3
"433","ES0178430E18","ES",2020,0.25
"434","ES0178430E18","ES",2019,0.25
"435","ES0178430E18","ES",2018,0.25
"436","ES0178430E18","ES",2017,0.25
"437","ES0178430E18","ES",2016,0.25
"438","ES0178430E18","ES",2015,0.28
"439","ES0178430E18","ES",2014,0.3
"440","ES0178430E18","ES",2013,0.3
"441","ES0178430E18","ES",2012,0.3
"442","FR0000120073","FR",2020,0.3202
"443","FR0000120073","FR",2019,0.3443
"444","FR0000120073","FR",2018,0.3443
"445","FR0000120073","FR",2017,0.3443
"446","FR0000120073","FR",2016,0.3443
"447","FR0000120073","FR",2015,0.379962
"448","FR0000120073","FR",2014,0.379962
"449","FR0000120073","FR",2013,0.379962
"450","FR0000120073","FR",2012,0.3609639
"451","NL0000235190","FR",2020,0.3202
"452","NL0000235190","FR",2019,0.3443
"453","NL0000235190","FR",2018,0.3443
"454","NL0000235190","FR",2017,0.3443
"455","NL0000235190","FR",2016,0.3443
"456","NL0000235190","FR",2015,0.379962
"457","NL0000235190","FR",2014,0.379962
"458","NL0000235190","FR",2013,0.379962
"459","NL0000235190","FR",2012,0.3609639
"460","FR0010220475","FR",2020,0.3202
"461","FR0010220475","FR",2019,0.3443
"462","FR0010220475","FR",2018,0.3443
"463","FR0010220475","FR",2017,0.3443
"464","FR0010220475","FR",2016,0.3443
"465","FR0010220475","FR",2015,0.379962
"466","FR0010220475","FR",2014,0.379962
"467","FR0010220475","FR",2013,0.379962
"468","FR0010220475","FR",2012,0.3609639
"469","FR0000120503","FR",2020,0.3202
"470","FR0000120503","FR",2019,0.3443
"471","FR0000120503","FR",2018,0.3443
"472","FR0000120503","FR",2017,0.3443
"473","FR0000120503","FR",2016,0.3443
"474","FR0000120503","FR",2015,0.379962
"475","FR0000120503","FR",2014,0.379962
"476","FR0000120503","FR",2013,0.379962
"477","FR0000120503","FR",2012,0.3609639
"478","FR0000125338","FR",2020,0.3202
"479","FR0000125338","FR",2019,0.3443
"480","FR0000125338","FR",2018,0.3443
"481","FR0000125338","FR",2017,0.3443
"482","FR0000125338","FR",2016,0.3443
"483","FR0000125338","FR",2015,0.379962
"484","FR0000125338","FR",2014,0.379962
"485","FR0000125338","FR",2013,0.379962
"486","FR0000125338","FR",2012,0.3609639
"487","FR0000120172","FR",2020,0.3202
"488","FR0000120172","FR",2019,0.3443
"489","FR0000120172","FR",2018,0.3443
"490","FR0000120172","FR",2017,0.3443
"491","FR0000120172","FR",2016,0.3443
"492","FR0000120172","FR",2015,0.379962
"493","FR0000120172","FR",2014,0.379962
"494","FR0000120172","FR",2013,0.379962
"495","FR0000120172","FR",2012,0.3609639
"496","FR0000045072","FR",2020,0.3202
"497","FR0000045072","FR",2019,0.3443
"498","FR0000045072","FR",2018,0.3443
"499","FR0000045072","FR",2017,0.3443
"500","FR0000045072","FR",2016,0.3443
"501","FR0000045072","FR",2015,0.379962
"502","FR0000045072","FR",2014,0.379962
"503","FR0000045072","FR",2013,0.379962
"504","FR0000045072","FR",2012,0.3609639
"505","FR0000120644","FR",2020,0.3202
"506","FR0000120644","FR",2019,0.3443
"507","FR0000120644","FR",2018,0.3443
"508","FR0000120644","FR",2017,0.3443
"509","FR0000120644","FR",2016,0.3443
"510","FR0000120644","FR",2015,0.379962
"511","FR0000120644","FR",2014,0.379962
"512","FR0000120644","FR",2013,0.379962
"513","FR0000120644","FR",2012,0.3609639
"514","FR0000130650","FR",2020,0.3202
"515","FR0000130650","FR",2019,0.3443
"516","FR0000130650","FR",2018,0.3443
"517","FR0000130650","FR",2017,0.3443
"518","FR0000130650","FR",2016,0.3443
"519","FR0000130650","FR",2015,0.379962
"520","FR0000130650","FR",2014,0.379962
"521","FR0000130650","FR",2013,0.379962
"522","FR0000130650","FR",2012,0.3609639
"523","FR0000130809","FR",2020,0.3202
"524","FR0000130809","FR",2019,0.3443
"525","FR0000130809","FR",2018,0.3443
"526","FR0000130809","FR",2017,0.3443
"527","FR0000130809","FR",2016,0.3443
"528","FR0000130809","FR",2015,0.379962
"529","FR0000130809","FR",2014,0.379962
"530","FR0000130809","FR",2013,0.379962
"531","FR0000130809","FR",2012,0.3609639
"532","FR0000052292","FR",2020,0.3202
"533","FR0000052292","FR",2019,0.3443
"534","FR0000052292","FR",2018,0.3443
"535","FR0000052292","FR",2017,0.3443
"536","FR0000052292","FR",2016,0.3443
"537","FR0000052292","FR",2015,0.379962
"538","FR0000052292","FR",2014,0.379962
"539","FR0000052292","FR",2013,0.379962
"540","FR0000052292","FR",2012,0.3609639
"541","FR0000121485","FR",2020,0.3202
"542","FR0000121485","FR",2019,0.3443
"543","FR0000121485","FR",2018,0.3443
"544","FR0000121485","FR",2017,0.3443
"545","FR0000121485","FR",2016,0.3443
"546","FR0000121485","FR",2015,0.379962
"547","FR0000121485","FR",2014,0.379962
"548","FR0000121485","FR",2013,0.379962
"549","FR0000121485","FR",2012,0.3609639
"550","FR0010307819","FR",2020,0.3202
"551","FR0010307819","FR",2019,0.3443
"552","FR0010307819","FR",2018,0.3443
"553","FR0010307819","FR",2017,0.3443
"554","FR0010307819","FR",2016,0.3443
"555","FR0010307819","FR",2015,0.379962
"556","FR0010307819","FR",2014,0.379962
"557","FR0010307819","FR",2013,0.379962
"558","FR0010307819","FR",2012,0.3609639
"559","FR0000120321","FR",2020,0.3202
"560","FR0000120321","FR",2019,0.3443
"561","FR0000120321","FR",2018,0.3443
"562","FR0000120321","FR",2017,0.3443
"563","FR0000120321","FR",2016,0.3443
"564","FR0000120321","FR",2015,0.379962
"565","FR0000120321","FR",2014,0.379962
"566","FR0000120321","FR",2013,0.379962
"567","FR0000120321","FR",2012,0.3609639
"568","FR0000121261","FR",2020,0.3202
"569","FR0000121261","FR",2019,0.3443
"570","FR0000121261","FR",2018,0.3443
"571","FR0000121261","FR",2017,0.3443
"572","FR0000121261","FR",2016,0.3443
"573","FR0000121261","FR",2015,0.379962
"574","FR0000121261","FR",2014,0.379962
"575","FR0000121261","FR",2013,0.379962
"576","FR0000121261","FR",2012,0.3609639
"577","FR0000133308","FR",2020,0.3202
"578","FR0000133308","FR",2019,0.3443
"579","FR0000133308","FR",2018,0.3443
"580","FR0000133308","FR",2017,0.3443
"581","FR0000133308","FR",2016,0.3443
"582","FR0000133308","FR",2015,0.379962
"583","FR0000133308","FR",2014,0.379962
"584","FR0000133308","FR",2013,0.379962
"585","FR0000133308","FR",2012,0.3609639
"586","FR0000120693","FR",2020,0.3202
"587","FR0000120693","FR",2019,0.3443
"588","FR0000120693","FR",2018,0.3443
"589","FR0000120693","FR",2017,0.3443
"590","FR0000120693","FR",2016,0.3443
"591","FR0000120693","FR",2015,0.379962
"592","FR0000120693","FR",2014,0.379962
"593","FR0000120693","FR",2013,0.379962
"594","FR0000120693","FR",2012,0.3609639
"595","FR0000073272","FR",2020,0.3202
"596","FR0000073272","FR",2019,0.3443
"597","FR0000073272","FR",2018,0.3443
"598","FR0000073272","FR",2017,0.3443
"599","FR0000073272","FR",2016,0.3443
"600","FR0000073272","FR",2015,0.379962
"601","FR0000073272","FR",2014,0.379962
"602","FR0000073272","FR",2013,0.379962
"603","FR0000073272","FR",2012,0.3609639
"604","FR0000051807","FR",2020,0.3202
"605","FR0000051807","FR",2019,0.3443
"606","FR0000051807","FR",2018,0.3443
"607","FR0000051807","FR",2017,0.3443
"608","FR0000051807","FR",2016,0.3443
"609","FR0000051807","FR",2015,0.379962
"610","FR0000051807","FR",2014,0.379962
"611","FR0000051807","FR",2013,0.379962
"612","FR0000051807","FR",2012,0.3609639
"613","FR0000125486","FR",2020,0.3202
"614","FR0000125486","FR",2019,0.3443
"615","FR0000125486","FR",2018,0.3443
"616","FR0000125486","FR",2017,0.3443
"617","FR0000125486","FR",2016,0.3443
"618","FR0000125486","FR",2015,0.379962
"619","FR0000125486","FR",2014,0.379962
"620","FR0000125486","FR",2013,0.379962
"621","FR0000125486","FR",2012,0.3609639
"622","FR0000127771","FR",2020,0.3202
"623","FR0000127771","FR",2019,0.3443
"624","FR0000127771","FR",2018,0.3443
"625","FR0000127771","FR",2017,0.3443
"626","FR0000127771","FR",2016,0.3443
"627","FR0000127771","FR",2015,0.379962
"628","FR0000127771","FR",2014,0.379962
"629","FR0000127771","FR",2013,0.379962
"630","FR0000127771","FR",2012,0.3609639
"631","IT0000062072","IT",2020,0.2781
"632","IT0000062072","IT",2019,0.278064
"633","IT0000062072","IT",2018,0.278064
"634","IT0000062072","IT",2017,0.278064
"635","IT0000062072","IT",2016,0.3129275
"636","IT0000062072","IT",2015,0.3129275
"637","IT0000062072","IT",2014,0.3129275
"638","IT0000062072","IT",2013,0.3129275
"639","IT0000062072","IT",2012,0.3129275
"640","NL0010545661","IT",2020,0.2781
"641","NL0010545661","IT",2019,0.278064
"642","NL0010545661","IT",2018,0.278064
"643","NL0010545661","IT",2017,0.278064
"644","NL0010545661","IT",2016,0.3129275
"645","NL0010545661","IT",2015,0.3129275
"646","NL0010545661","IT",2014,0.3129275
"647","NL0010545661","IT",2013,0.3129275
"648","NL0010545661","IT",2012,0.3129275
"649","NL0011585146","IT",2020,0.2781
"650","NL0011585146","IT",2019,0.278064
