Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
601;JP3893200000;Mitsui Fudosan Co. Ltd.;JP;Large;187;Finance;#N/B;34.20087471;30.51904482;29.70927439;29.70794446;29.29441805;69042;77124;38206;87312;69388;181317;192257;224748;242043;261217;23.44812768;8.736643;9.874878;512800;3.3;06/21/2021
602;US8486371045;SPLUNK;US;Large;186;Technology Services;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;1.408;3.021;6.48;6.639;17.413;-286.644;-349.682;-188.861;-263.191;-331.651;#N/B;#N/B;#N/B;#N/B;2.6;06/21/2021
603;INE154A01025;ITC Ltd;IN;Large;186;Consumer Non-Durables;#N/B;36.08064293;34.62485461;33.99948165;32.9913283;22.17972821;50778.4;54915.9;59996.1;58034.6;50228.9;148506.5;160263.2;174015.3;191381.2;200263.5;27.29810188;12.277963;7.874069;1435000;3.4;06/21/2021
604;US9024941034;Tyson Foods Inc. Cl A;US;Large;186;Consumer Non-Durables;Consumer Staples;31.79368745;32.34398782;-10.27322404;16.04886268;22.25975976;686;779;470;557;511;2598;2628;2745;2374;2664;36.55609161;13.471429;10.286427;5730000;3.2;06/21/2021
605;US6658591044;Northern Trust Corp.;US;Large;186;Finance;Financials;31.94252192;26.61729604;20.50260496;23.24468906;25.70041779;754.2;441.2;493.5;437;327.7;1517.1;1633.9;1957.8;1944.1;1627.6;24.66986813;12.321859;10.333997;31249.07;2.7;06/21/2021
606;US4878361082;Kellogg Co.;US;Large;185;Consumer Non-Durables;Consumer Staples;25.13484358;24.74351237;13.6192626;24.59770115;20.17489069;256;352;188;537;281;927;1657;1329;1305;1601;27.022735;14.834098;4.740037;1004000;4.3;06/21/2021
607;DE000A2E4K43;DELIVERY HERO;DE;Large;185;Retail Trade;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;5.7;7.9;13.6;15.3;25.6;-197.2;-323.3;-220.2;-563.7;-1301.8;#N/B;#N/B;#N/B;#N/B;2.4;06/21/2021
608;US1713401024;Church & Dwight Co.;US;Large;185;Consumer Non-Durables;Consumer Staples;34.97662558;-7.319185795;20.97289785;20.39550213;19.29554323;188.4;198.1;116.8;134.8;162.1;705.9;692.7;719.5;773.7;973.8;#N/B;#N/B;#N/B;#N/B;3.4;06/21/2021
609;DK0010272202;GENMAB;DK;Large;184;Health Technology;#N/B;-5.030715341;-3.744500432;8.674473672;24.23924449;19.41056911;-5.861;180.881;-46.361;476;1476;1130.217;1063.72;1611.971;2859;5904;#N/B;#N/B;#N/B;#N/B;1.9;06/21/2021
610;US24703L2025;DELL TECHNOLOGIES;US;Large;184;Electronic Technology;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;264;978;924;747;1414;-1286;-5356;-4769;-2361;-4;16.07797188;8.501959;7.202888;496600;3.6;06/21/2021
