"","company","year","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","doc_id","country","ctrygrp"
"500","US6311031081",2016,6,5,4,3,6,3,6,5,2,3,1,2,13,0,7,5,18,10,"US6311031081_2016_SR_0.pdf","US","USA"
"501","US6311031081",2020,0,0,0,0,0,0,11,1,0,0,0,0,3,0,0,0,0,0,"US6311031081_2020_CR_0.pdf","US","USA"
"502","US6311031081",2020,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,2,0,0,"US6311031081_2020_GC_0.pdf","US","USA"
"503","US6311031081",2020,0,0,6,0,4,1,16,3,0,4,0,0,16,0,1,10,0,0,"US6311031081_2020_SR_0.pdf","US","USA"
"504","US64110D1046",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US64110D1046_2020_HR_0.pdf","US","USA"
"505","US64110D1046",2020,0,3,0,0,0,0,3,0,0,2,0,0,13,0,0,8,1,0,"US64110D1046_2020_SR_0.pdf","US","USA"
"506","US6516391066",2016,2,0,2,2,4,7,11,8,0,2,0,0,36,0,85,23,30,41,"US6516391066_2016_SR_0.pdf","US","USA"
"507","US6516391066",2020,1,11,0,0,1,12,7,6,0,1,0,0,61,0,54,32,90,67,"US6516391066_2020_SR_0.pdf","US","USA"
"508","US6703461052",2016,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,3,0,0,"US6703461052_2016_SR_0.pdf","US","USA"
"509","US6703461052",2020,0,1,2,1,0,2,2,0,0,0,0,0,3,0,5,4,0,0,"US6703461052_2020_SR_0.pdf","US","USA"
"510","US6934751057",2016,2,0,9,0,0,0,8,0,0,0,0,0,4,0,0,11,0,0,"US6934751057_2016_SR_0.pdf","US","USA"
"511","US6934751057",2020,0,0,0,0,0,0,11,0,0,0,0,0,19,0,3,0,1,0,"US6934751057_2020_ER_0.pdf","US","USA"
"512","US6934751057",2020,1,1,6,1,1,0,5,2,0,2,1,0,6,0,0,13,2,4,"US6934751057_2020_SR_0.pdf","US","USA"
"513","US72919P2020",2020,0,1,0,0,0,1,14,0,0,1,0,0,5,0,0,0,2,0,"US72919P2020_2020_SR_0.pdf","US","USA"
"514","US74736K1016",2020,0,0,0,0,0,0,5,0,0,0,0,0,15,0,1,1,0,0,"US74736K1016_2020_SR_0.pdf","US","USA"
"515","US75886F1075",2016,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,"US75886F1075_2016_SR_0.pdf","US","USA"
"516","US75886F1075",2020,0,1,0,3,2,0,11,0,0,2,0,2,6,0,4,13,4,29,"US75886F1075_2020_SR_1.pdf","US","USA"
