SIZE,PTI,CTP,ROA,PERF,LTD,CETR,CETR_3_s,str,FOR,ESG,REP,sdg01,sdg02,sdg03,sdg04,sdg05,sdg06,sdg07,sdg08,sdg09,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17,sdg,gc,gri,int,report,sdg_total,sdg_themes,SDG,GC,GRI,INT
0.32***,0.15***,0.19***,0.05 ,0.09*,0.03 ,0.08 ,0.07 ,-0.12**,-0.02 ,0.37***,1***,0.21***,0.18**,0.23***,0.25***,0.2***,0.24***,0.36***,0.33***,0.15 ,0.28***,0.07 ,0.17*,0.36***,0.06 ,0.27***,0.32***,0.3***,0.24***,0.15 ,0.25***,0.16*,1***,0.11 ,0.79***,0.57***,0.34***,0.67***,0.22***
0.19***,0.04 ,0.08*,-0.03 ,-0.02 ,-0.01 ,0.08 ,0.04 ,-0.02 ,-0.02 ,0.18***,0.21***,1***,0.17**,0.24***,0.26***,0.2***,0.22***,0.3***,0.37***,0.15 ,0.28***,0.73***,0.23***,0.44***,-0.01 ,0.39***,0.33***,0.33***,0.29***,0.12 ,0.18**,0.15 ,0.21***,0.12 ,0.4***,0.29***,0.26***,0.25***,0.17*
0.04 ,-0.05 ,0.02 ,0 ,-0.02 ,0.05 ,-0.02 ,0.04 ,0.03 ,0 ,0.11**,0.18***,0.17***,1***,0.14 ,0.15 ,0.05 ,0.22***,0.09 ,0.14 ,0.06 ,0.21***,0.04 ,0.26***,0.16*,0.01 ,0.22***,0.17*,0.11 ,0.12 ,0.02 ,0.33***,0.01 ,0.18**,0.02 ,0.28***,0.14 ,0.07 ,0.17*,-0.01 
0.11**,0.02 ,0.04 ,0.02 ,0.02 ,0.05 ,0.02 ,0.02 ,-0.06 ,0.06 ,0.19***,0.23***,0.24***,0.14***,1***,0.26***,0.34***,0.31***,0.17*,0.29***,0.15 ,0.3***,0.04 ,0.21***,0.35***,0.13 ,0.17*,0.2***,0.26***,0.21***,0.08 ,0.2***,0.09 ,0.23***,0.15 ,0.35***,0.26***,0.18**,0.19**,0.16*
0.13**,0.08*,0.08 ,0 ,0.02 ,0 ,0 ,0.05 ,-0.11**,-0.03 ,0.14**,0.25***,0.26***,0.15***,0.26***,1***,0.21***,0.19**,0.21***,0.42***,0.23***,0.3***,0.06 ,0.25***,0.2***,0.1 ,0.17*,0.23***,0.22***,0.26***,0.09 ,0.25***,0.06 ,0.25***,0.04 ,0.46***,0.3***,0.21***,0.26***,0.09 
0.13**,0.05 ,0.08 ,0 ,-0.02 ,0.06 ,0.04 ,0.03 ,-0.05 ,0.04 ,0.24***,0.2***,0.2***,0.05 ,0.34***,0.21***,1***,0.26***,0.24***,0.3***,0.26***,0.37***,0.01 ,0.33***,0.34***,0.21***,0.3***,0.16*,0.46***,0.2***,0.33***,0.19**,0.09 ,0.2***,0.29***,0.38***,0.23***,0.22***,0.25***,0.14 
0.04 ,0.04 ,0.07 ,0.09*,0.06 ,0.05 ,0 ,0.09*,-0.06 ,0.05 ,0.22***,0.24***,0.22***,0.22***,0.31***,0.19***,0.26***,1***,0.22***,0.33***,0.09 ,0.21***,0.06 ,0.27***,0.32***,0.09 ,0.34***,0.16*,0.25***,0.22***,0.11 ,0.33***,0.07 ,0.24***,0.08 ,0.38***,0.27***,0.2***,0.27***,0.06 
0.3***,0.27***,0.23***,-0.03 ,-0.02 ,0.04 ,0.02 ,0.06 ,-0.07 ,-0.02 ,0.31***,0.36***,0.3***,0.09*,0.17***,0.21***,0.24***,0.22***,1***,0.37***,0.27***,0.44***,0.16 ,0.19**,0.63***,0.09 ,0.51***,0.37***,0.41***,0.44***,0.15 ,0.3***,0.08 ,0.36***,0.18**,0.52***,0.43***,0.34***,0.43***,0.16*
0.24***,0.11**,0.12**,-0.01 ,0.02 ,0.15***,-0.01 ,0.03 ,-0.1*,-0.07 ,0.3***,0.33***,0.37***,0.14***,0.29***,0.42***,0.3***,0.33***,0.37***,1***,0.37***,0.35***,0.13 ,0.34***,0.4***,0.03 ,0.34***,0.28***,0.43***,0.33***,0.13 ,0.33***,0.2***,0.33***,0.21***,0.56***,0.39***,0.23***,0.38***,0.25***
0.1*,0.08 ,0.1*,-0.01 ,-0.01 ,0.06 ,0.02 ,0.05 ,-0.05 ,-0.05 ,0.17***,0.15***,0.15***,0.06 ,0.15***,0.23***,0.26***,0.09*,0.27***,0.37***,1***,0.25***,0.08 ,0.24***,0.17*,0.02 ,0.18**,0.18**,0.27***,0.25***,0.14 ,0.16 ,0.16*,0.15 ,0.11 ,0.33***,0.24***,0.17*,0.19**,0.24***
0.15***,0.1*,0.08 ,0.04 ,0.02 ,0.08 ,-0.04 ,0.06 ,-0.1*,-0.06 ,0.25***,0.28***,0.28***,0.21***,0.3***,0.3***,0.37***,0.21***,0.44***,0.35***,0.25***,1***,0.05 ,0.22***,0.37***,0.01 ,0.26***,0.19**,0.37***,0.26***,0.17*,0.49***,0.06 ,0.28***,0.17*,0.47***,0.28***,0.28***,0.32***,0.11 
0.1*,0.02 ,0.04 ,-0.03 ,-0.02 ,-0.02 ,0.03 ,0.03 ,-0.02 ,-0.03 ,0.04 ,0.07 ,0.73***,0.04 ,0.04 ,0.06 ,0.01 ,0.06 ,0.16***,0.13**,0.08 ,0.05 ,1***,0.09 ,0.31***,0 ,0.27***,0.27***,0.18**,0.15 ,0.07 ,0.1 ,-0.01 ,0.07 ,0.07 ,0.16*,0.11 ,0.13 ,0.09 ,0 
0.08 ,0.03 ,0.05 ,-0.01 ,-0.01 ,-0.03 ,0.12**,0.09*,-0.05 ,0 ,0.21***,0.17***,0.23***,0.26***,0.21***,0.25***,0.33***,0.27***,0.19***,0.34***,0.24***,0.22***,0.09*,1***,0.2***,0.04 ,0.31***,0.14 ,0.26***,0.21***,0.17*,0.24***,0.05 ,0.17*,0.11 ,0.34***,0.25***,0.15 ,0.21***,0.06 
0.33***,0.15***,0.16***,-0.09*,-0.05 ,0.08 ,0.01 ,0.07 ,-0.12**,-0.04 ,0.32***,0.36***,0.44***,0.16***,0.35***,0.2***,0.34***,0.32***,0.63***,0.4***,0.17***,0.37***,0.31***,0.2***,1***,0.07 ,0.6***,0.36***,0.45***,0.48***,0.17*,0.41***,0.13 ,0.36***,0.2***,0.54***,0.47***,0.35***,0.41***,0.19**
0.02 ,0 ,-0.01 ,0.01 ,0 ,0.1*,0.02 ,0.03 ,-0.08*,0.22***,0.05 ,0.06 ,-0.01 ,0.01 ,0.13**,0.1*,0.21***,0.09*,0.09*,0.03 ,0.02 ,0.01 ,0 ,0.04 ,0.07 ,1***,0.02 ,0.16*,0.03 ,0 ,0.01 ,0.06 ,-0.03 ,0.06 ,0 ,0.11 ,0.08 ,0.02 ,0.09 ,-0.04 
0.2***,0.1*,0.19***,-0.05 ,-0.07 ,-0.02 ,0.05 ,0.12**,0.02 ,-0.04 ,0.27***,0.27***,0.39***,0.22***,0.17***,0.17***,0.3***,0.34***,0.51***,0.34***,0.18***,0.26***,0.27***,0.31***,0.6***,0.02 ,1***,0.24***,0.44***,0.38***,0.12 ,0.3***,0.05 ,0.27***,0.21***,0.44***,0.34***,0.31***,0.34***,0.1 
0.18***,0.1*,0.08 ,-0.01 ,0.01 ,0.03 ,0.02 ,0.04 ,-0.12**,0.05 ,0.15***,0.32***,0.33***,0.17***,0.2***,0.23***,0.16***,0.16***,0.37***,0.28***,0.18***,0.19***,0.27***,0.14***,0.36***,0.16***,0.24***,1***,0.24***,0.39***,0.22***,0.2***,0.12 ,0.32***,0.07 ,0.43***,0.34***,0.22***,0.3***,0.2***
0.2***,0.08*,0.12**,-0.05 ,-0.06 ,0.01 ,0.06 ,0.07 ,-0.06 ,-0.06 ,0.29***,0.3***,0.33***,0.11**,0.26***,0.22***,0.46***,0.25***,0.41***,0.43***,0.27***,0.37***,0.18***,0.26***,0.45***,0.03 ,0.44***,0.24***,1***,0.31***,0.26***,0.32***,0.08 ,0.3***,0.87***,0.49***,0.41***,0.36***,0.36***,0.11 
0.17***,0.16***,0.14***,-0.01 ,0 ,0.05 ,0.05 ,0.14**,-0.09*,0.01 ,0.22***,0.24***,0.29***,0.12**,0.21***,0.26***,0.2***,0.22***,0.44***,0.33***,0.25***,0.26***,0.15***,0.21***,0.48***,0 ,0.38***,0.39***,0.31***,1***,0.16*,0.23***,0.13 ,0.24***,0.11 ,0.39***,0.42***,0.25***,0.29***,0.22***
0.09*,0.08 ,0.1*,0.02 ,0.01 ,0 ,0.04 ,0.02 ,-0.01 ,0 ,0.19***,0.15***,0.12**,0.02 ,0.08 ,0.09*,0.33***,0.11**,0.15***,0.13**,0.14***,0.17***,0.07 ,0.17***,0.17***,0.01 ,0.12**,0.22***,0.26***,0.16***,1***,0.16*,0.1 ,0.15 ,0.17*,0.23***,0.2***,0.43***,0.21***,0.1 
0.17***,0.05 ,0.09*,-0.06 ,-0.06 ,0.1*,-0.12**,0.09 ,-0.11**,-0.01 ,0.25***,0.25***,0.18***,0.33***,0.2***,0.25***,0.19***,0.33***,0.3***,0.33***,0.16***,0.49***,0.1*,0.24***,0.41***,0.06 ,0.3***,0.2***,0.32***,0.23***,0.16***,1***,0.06 ,0.25***,0.15 ,0.39***,0.29***,0.27***,0.38***,0.05 
0.11**,-0.02 ,-0.02 ,-0.02 ,0.01 ,0.02 ,-0.01 ,-0.01 ,-0.06 ,-0.05 ,0.12**,0.16***,0.15***,0.01 ,0.09*,0.06 ,0.09*,0.07 ,0.08*,0.2***,0.16***,0.06 ,-0.01 ,0.05 ,0.13**,-0.03 ,0.05 ,0.12**,0.08*,0.13**,0.1*,0.06 ,1***,0.16*,0 ,0.2***,0.24***,0.15 ,0.18**,0.72***
0.32***,0.15***,0.19***,0.05 ,0.09*,0.03 ,0.08 ,0.07 ,-0.12**,-0.02 ,0.37***,1***,0.21***,0.18***,0.23***,0.25***,0.2***,0.24***,0.36***,0.33***,0.15***,0.28***,0.07 ,0.17***,0.36***,0.06 ,0.27***,0.32***,0.3***,0.24***,0.15***,0.25***,0.16***,1***,0.11 ,0.79***,0.57***,0.34***,0.67***,0.22***
0.07 ,0.02 ,0.02 ,-0.03 ,-0.04 ,-0.02 ,0.04 ,0.02 ,0.01 ,-0.03 ,0.13**,0.11**,0.12**,0.02 ,0.15***,0.04 ,0.29***,0.08*,0.18***,0.21***,0.11**,0.17***,0.07 ,0.11*,0.2***,0 ,0.21***,0.07 ,0.87***,0.11**,0.17***,0.15***,0 ,0.11**,1***,0.2***,0.17*,0.18**,0.15 ,0 
0.37***,0.17***,0.24***,0 ,0.02 ,0.06 ,0.09*,0.09*,-0.17***,-0.04 ,0.47***,0.79***,0.4***,0.28***,0.35***,0.46***,0.38***,0.38***,0.52***,0.56***,0.33***,0.47***,0.16***,0.34***,0.54***,0.11**,0.44***,0.43***,0.49***,0.39***,0.23***,0.39***,0.2***,0.79***,0.2***,1***,0.72***,0.46***,0.72***,0.26***
0.33***,0.18***,0.23***,-0.01 ,0.03 ,0.01 ,0.09*,0.12**,-0.18***,-0.05 ,0.41***,0.57***,0.29***,0.14***,0.26***,0.3***,0.23***,0.27***,0.43***,0.39***,0.24***,0.28***,0.11**,0.25***,0.47***,0.08 ,0.34***,0.34***,0.41***,0.42***,0.2***,0.29***,0.24***,0.57***,0.17***,0.72***,1***,0.42***,0.56***,0.32***
0.16***,0.05 ,0.12**,0 ,0.03 ,-0.02 ,0.07 ,0.06 ,-0.09*,-0.04 ,0.35***,0.34***,0.26***,0.07 ,0.18***,0.21***,0.22***,0.2***,0.34***,0.23***,0.17***,0.28***,0.13**,0.15***,0.35***,0.02 ,0.31***,0.22***,0.36***,0.25***,0.43***,0.27***,0.15***,0.34***,0.18***,0.46***,0.42***,1***,0.39***,0.15 
0.27***,0.16***,0.18***,0.01 ,0.06 ,0.01 ,0.04 ,0.07 ,-0.18***,-0.02 ,0.37***,0.67***,0.25***,0.17***,0.19***,0.26***,0.25***,0.27***,0.43***,0.38***,0.19***,0.32***,0.09*,0.21***,0.41***,0.09*,0.34***,0.3***,0.36***,0.29***,0.21***,0.38***,0.18***,0.67***,0.15***,0.72***,0.56***,0.39***,1***,0.18**
0.14***,-0.01 ,0.02 ,-0.01 ,0.03 ,0 ,0.02 ,0.04 ,-0.04 ,-0.06 ,0.16***,0.22***,0.17***,-0.01 ,0.16***,0.09*,0.14***,0.06 ,0.16***,0.25***,0.24***,0.11**,0 ,0.06 ,0.19***,-0.04 ,0.1*,0.2***,0.11**,0.22***,0.1*,0.05 ,0.72***,0.22***,0 ,0.26***,0.32***,0.15***,0.18***,1***
