ISIN	Country	m0	m1	m2	m3	m4	m5	m6	m7	m8
US6311031081	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US64110D1046	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6516391066	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6700024010	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
JE00BYSS4X48	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6703461052	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US62944T1051	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6792951054	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US72919P2020	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US6934751057	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US73278L1052	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US7458671010	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US74736K1016	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US75886F1075	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US77543R1023	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US78409V1044	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8545021011	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8666741041	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US87165B1035	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8740541094	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8793601050	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8725901040	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US88339J1051	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US8936411003	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US89400J1079	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US9078181081	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US92276F1003	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US92343V1044	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US92556V1061	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US9291601097	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US9892071054	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US98956P1021	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
US98978V1035	US	2020	2019	2018	2017	2016	2015	2014	2013	2012
